District,Seat,Constituency_title,Candidate_Name,Party
Swat,Swat-III,NA-4,Shahzad,Independent
Swat,Swat-III,NA-4,Feroz Shah,Pakistan Muslim League(N)
Swat,Swat-III,NA-4,Qari Mahmood,Muttahida MAJLIS-E-AMAL PAKISTAN
Swat,Swat-III,NA-4,Qamar Zaman,Pakistan Peoples Party Parliamentarians
Swat,Swat-III,NA-4,Muhammad Raza Khan,Tehreek Labbaik Pakistan
Swat,Swat-III,NA-4,Muhammad Salim Khan,Awami National Party
Swat,Swat-III,NA-4,Muhammad Mosa Khan,Independent
Swat,Swat-III,NA-4,Murad Saeed,Pakistan Tehreek-e-lnsaf
Upper Dir,Upper Dir,NA-5,HANIF ULLAH KHAN,Independent
Upper Dir,Upper Dir,NA-5,RIAZULLAH,Independent
Upper Dir,Upper Dir,NA-5,SUBHAN ALl,All Pakistan Muslim League
Upper Dir,Upper Dir,NA-5, SAHIBZADA SIBGHATULLAH,Pakistan Tehreek-e-lnsaf
Upper Dir,Upper Dir,NA-5, SAHIBZADA TARIQULLAH ,Muttahida MAJLIS-E-AMAL PAKISTAN
Upper Dir,Upper Dir,NA-5,IMRAN KHAN,Awami National Party
Upper Dir,Upper Dir,NA-5,UMAR ZAIB KHAN,Pakistan Muslim League
Upper Dir,Upper Dir,NA-5,INAYATUL HAQ,Pak Sarzameen Party
Upper Dir,Upper Dir,NA-5,MUHAMMAD NISAR KHAN,Pakistan Muslim League(N)
Upper Dir,Upper Dir,NA-5,NAJMUDDIN KHAN,Pakistan Peoples Party Parliamentarians
Lower Dir,Lower Dir-I,NA-6,Ihsan UHah,Tehreek Labbaik Pakistan
Lower Dir,Lower Dir-I,NA-6,Ahmad Hassan,Pakistan Peoples Party Parliamentarians
Lower Dir,Lower Dir-I,NA-6,Asad Ullah,Muttahida MAJLIS-E-AMAL PAKISTAN
Lower Dir,Lower Dir-I,NA-6,Amjad Ali,Allah-o-Akbar Tehreek
Lower Dir,Lower Dir-I,NA-6,Javed Akhtar,Pakistan Muslim League(N)
Lower Dir,Lower Dir-I,NA-6,Habib Ullah,All Pakistan Muslim League
Lower Dir,Lower Dir-I,NA-6,Mehboob Shah,Pakistan Tehreek-e-lnsaf
Lower Dir,Lower Dir-I,NA-6,Muhammad Zahid Khan,Awami National Party
Lower Dir ,Lower Dir-II,NA-7,Sobia Shahid,Pakistan Muslim League (N)
Lower Dir,Lower Dir-II,NA-7,Siraj-Ul-haq,Muttahida MAJLIS-E-AMAL PAKISTAN
Lower Dir,Lower Dir-II,NA-7,Syed Shahid Ahmed Jan,Pakistan Peoples Party Parliamentarians
Lower Dir,Lower Dir-II,NA-7,Abdul Ghaffar Khan,All Pakistan Muslim League
Lower Dir,Lower Dir-II,NA-7,Mubarak Jan,Independent
Lower Dir,Lower Dir-II,NA-7,Muhammad Bashir Khan,Pakistan Tehreek-e-lnsaf
Lower Dir,Lower Dir-II,NA-7,Muhammad Khalid,Allah-o-Akbar Tehreek
Lower Dir,Lower Dir-II,NA-7,Nazir Khan,Awami National Party
Malakand,Malakand,NA-8,Inam Ullah Khan,Awami National Party
Malakand,Malakand,NA-8,Bilawal Bhutto Zardari,Pakistan Peoples Party Parliamentarians
Malakand,Malakand,NA-8,Taj Badshah,All Pakistan Muslim League
Malakand,Malakand,NA-8,Junaid Akbar,Pakistan Tehreek-e-lnsaf
Malakand,Malakand,NA-8,Hussain Khan,Independent
Malakand,Malakand,NA-8,Shams ul Haq,Independent
Malakand,Malakand,NA-8,ZaFar Yab Khan,Qaumi Watan Party
Malakand,Malakand,NA-8,Alamgir,Independent
Malakand,Malakand,NA-8,Amir Nawab Khan,Pakistan Muslim League (N)
Malakand,Malakand,NA-8,Fazal Muhammad,Independent
Malakand,Malakand,NA-8,GulNaseeb Khan,MUTTHIDA MAJLIS-E-AMAL PAKlSTAN
Malakand,Malakand,NA-8,Muhammad Khan,Independent
Malakand,Malakand,NA-8,Mian Gul Kurram,Independent
Buner,Buner,NA-9,ISTIQBAL KHAN,MMA PAKISTAN
Buner,Buner,NA-9,SIR MIR KHAN,All Pakistan Muslim League
Buner,Buner,NA-9,SHER AKBAR KHAN,Pakistan Tehreek-e-Insaaf
Buner,Buner,NA-9,ABDUR RAUF,Awami National Party
Buner,Buner,NA-9,FAN00S GUJJAR,Awami Workers Party
Buner,Buner,NA-9,KAMRAN KHAN,Pakistan Muslim League(N)
Buner,Buner,NA-9,MIAN MOEEN UD DIN,lndependent
Shangla,Shangla,NA-10,Amir Sultan,Mutahidda Majlas E Amal
Shangla,Shangla,NA-10,Bakht Naseeb Khan,Awami Workers Party
Shangla,Shangla,NA-10,Parviz Ahmad,lndependent
Shangla,Shangla,NA-10,Hamid lqbal Khan,Pakistan Peoples Party Parlimentarian
Shangla,Shangla,NA-10,Sadeed ur Rehman,Awami National Party
Shangla,Shangla,NA-10,Safeer Khan,lndependent
Shangla,Shangla,NA-10,Said Fareen,lndependent
Shangla,Shangla,NA-10,lbadullah Khan,Pakistan Muslim League (N)
Shangla,Shangla,NA-10,Waqar Ahmad Khan,Pakistan Tehreek-e-Insaaf
"Kohistan-cum-Lower
Kolai Pallas Kohistan",Kohistan-cum-Lower Kolai Pallas Kohistan,NA-11,Afreen Khan,MuTTHIDA MAJLIS E AMAL PAKISTAN
"Kohistan-cum-Lower
Kolai Pallas Kohistan",Kohistan-cum-Lower Kolai Pallas Kohistan,NA-11,Aurangzeb,"Pakistan Tehreek-e-Insaf
"
"Kohistan-cum-Lower
Kolai Pallas Kohistan",Kohistan-cum-Lower Kolai Pallas Kohistan,NA-11,Bakht Jahan,Allah-o-Akbar Tchreck
"Kohistan-cum-Lower
Kolai Pallas Kohistan",Kohistan-cum-Lower Kolai Pallas Kohistan,NA-11,Juma Din,Pak Sarzameen Party
"Kohistan-cum-Lower
Kolai Pallas Kohistan",Kohistan-cum-Lower Kolai Pallas Kohistan,NA-11,Haji Misar Khan,Pakistan Muslim League (N)
"Kohistan-cum-Lower
Kolai Pallas Kohistan",Kohistan-cum-Lower Kolai Pallas Kohistan,NA-11,Haji Mir Dad,Independent
"Kohistan-cum-Lower
Kolai Pallas Kohistan",Kohistan-cum-Lower Kolai Pallas Kohistan,NA-11,Dost Muhammad Shakir,Independent
"Kohistan-cum-Lower
Kolai Pallas Kohistan",Kohistan-cum-Lower Kolai Pallas Kohistan,NA-11,Syed Jan,Independent
"Kohistan-cum-Lower
Kolai Pallas Kohistan",Kohistan-cum-Lower Kolai Pallas Kohistan,NA-11,Sved Gul Badshah,Independent
"Kohistan-cum-Lower
Kolai Pallas Kohistan",Kohistan-cum-Lower Kolai Pallas Kohistan,NA-11,Shehzad Laif,Independent
"Kohistan-cum-Lower
Kolai Pallas Kohistan",Kohistan-cum-Lower Kolai Pallas Kohistan,NA-11,Sher Baz,Independent
"Kohistan-cum-Lower
Kolai Pallas Kohistan",Kohistan-cum-Lower Kolai Pallas Kohistan,NA-11,Abdul Qayum,Independent
"Kohistan-cum-Lower
Kolai Pallas Kohistan",Kohistan-cum-Lower Kolai Pallas Kohistan,NA-11,Mehboo Ullah Jan,Pakistan Muslim League (N)
"Kohistan-cum-Lower
Kolai Pallas Kohistan",Kohistan-cum-Lower Kolai Pallas Kohistan,NA-11,Muhammad Naseer,Independent
"Kohistan-cum-Lower
Kolai Pallas Kohistan",Kohistan-cum-Lower Kolai Pallas Kohistan,NA-11,Muhamrnad Yaseen,lndependent
"Kohistan-cum-Lower
Kolai Pallas Kohistan",Kohistan-cum-Lower Kolai Pallas Kohistan,NA-11,Malak Nor Wali Shah,Pakistan Peoples Party Parliamentarians
"Kohistan-cum-Lower
Kolai Pallas Kohistan",Kohistan-cum-Lower Kolai Pallas Kohistan,NA-11,Noor-Ul-Amin,Qaumi Watan Party
Battagram,Battagram,NA-12,Rustam Khan,Qaumi Watan Party
Battagram,Battagram,NA-12,Rasheed Ahmed,Independent
Battagram,Battagram,NA-12,Sardar Malik Jan,Pakistan Peoples Party Parliamentarians
Battagram,Battagram,NA-12,Saeed Ahmed,Independent
Battagram,Battagram,NA-12,Sabir Hussain Shah,Pakistan Muslim League (N)
Battagram,Battagram,NA-12,Muhammad Nawaz Khan,Pakistan Tehreek-e-Insaaf
Battagram,Battagram,NA-12,Muhammad Yousaf,MUTTHIDA MAJLIS- E- AMAL PAKlSTAN
Battagram,Battagram,NA-12,Misbah Ullah Babar,Awami National Party
Mansehra,Mansehra-I,NA-13,Afsar Khan,Independent
Mansehra,Mansehra-I,NA-13,Samar Islam,Independent
Mansehra,Mansehra-I,NA-13,Sardar Shah JehanYousaf,Pakistan Muslim League (N)
Mansehra,Mansehra-I,NA-13,Sardar Muhammad Sultan,lndependent
Mansehra,Mansehra-I,NA-13,Saleh Muhammad,Independent
Mansehra,Mansehra-I,NA-13,Aamir Shahzad,Tehreek Labbalk Pakistan
Mansehra,Mansehra-I,NA-13,AbduI Salam,Humdardan-e-Watan Pakistan
Mansehra,Mansehra-I,NA-13,lffat Kalsoom,Awami National Party
Mansehra,Mansehra-I,NA-13,Ambereen Ahsan,lndependent
Mansehra,Mansehra-I,NA-13,Muhammad Baseer Khan,MUTTHIDA MAJLIS-E-AMAL PAKISTAN
Mansehra,Mansehra-I,NA-13,Muhammad Banaris,Independent
Mansehra,Mansehra-I,NA-13,Muhammad Javed,Pak Sarzameen Party
Mansehra,Mansehra-I,NA-13,Muhammad Gulfam Swati,Independent
Mansehra,Mansehra-I,NA-13,Nargis Ali,Pakistan Muslim League (N)
Mnnsehra culn Torghar,Torghar,NA-14,Ahmed Shaheryar Khan,Independent
Mnnsehra? culn Torghar,Torghar,NA-14,Roshan Zaman,Independent
Mnnsehra? culn Torghar,Torghar,NA- 14,Zar Cul Khan,Pakistan Tehreek-e-lnsaf
Mnnsehra? culn Torghar,Torghar,NA-14,Fakhar uz zaman khan,Pakistan Muslim League
Mnnsehra? culn Torghar,Torghar,NA-14,Qazi Tayyab Shehzad,Tehreek labaik Pakistan
Mnnsehra? culn Torghar,Torghar,NA- 14,Kifayatullah,MUTTAHlDA MAJLIS-e-AMAL PAKISTAN
Mnnsehra? culn Torghar,Torghar,NA- 14,Muharnmad Asif,Qaumi Watan Party
Mnnsehra? culn Torghar,Torghar,NA? 14,Muhammad Saijad,Independent
Mnnsehra? culn Torghar,Torghar,NA? 14,Muhammad Safdar,Paklstan Muslim League (N)
Mnnsehra? culn Torghar,Torghar,NA? 14,Muhammad Aqeel Khan Durani,Allah-o-Akbar Tehreek
Mnnsehra? culn Torghar,Torghar,NA? 14,Muhammad Wajid khan,Independent
Abbottabad-1,Abbottabad-1,NA-15,Ayaz Khan Jadoon ,Pakistan Rah-e-Haq Party
Abbottabad-1,Abbottabad-1,NA-15,Sameen Riaz Abbasi,Pakistan Justice & Democratic Party
Abbottabad-1,Abbottabad-1,NA-15,Zulfiqar Jawed,Independent
Abbottabad-1,Abbottabad-1,NA-15,Sardar Gohar Zaman Khan,lndependent
Abbottabad-1,Abbottabad-1,NA-15,Sardar Muhammad Iqbal Khan,Qaumi Watan Party
Abbottabad-1,Abbottabad-1,NA-15,Sardar Muhammad Yaqub,lndependent
Abbottabad-1,Abbottabad-1,NA-15,Sardar Manzoor Mumtaz Abbasi,Pakistan Peoples Party Parliamentarians
Abbottabad-1,Abbottabad-1,NA-15,AliAsghar Khan,Pakistan Tehreek-e-lnsaf
Abbottabad-1,Abbottabad-1,NA-15,Fazal-UR-Rehman,MUTTHIDA MAJLIS?E? AMAL PAKISTAN
Abbottabad-1,Abbottabad-1,NA-15,Muhammad Asghar Shah,Independent
Abbottabad-1,Abbottabad-1,NA-15,Makhdoom Arif Hussain Kazmi,Tehreek Labbaik Pakistan
Abbottabad-1,Abbottabad-1,NA-15,Murtaza Javed Abbasi,Pakistan Muslim League
Abbottabad-1,Abbottabad-1,NA-15,Nusrat Anjum,Pak Sarzameen Party
Abbottabad-2,Abbottabad-2,NA-16,Ayaz Khan Jadoon,Pakistan Rah-e-Haq PartY
Abbottabad-2,Abbottabad-2,NA-16,Bilal Siddiqui,lndependent
Abbottabad-2,Abbottabad-2,NA-16,Javed Khan,Independent
Abbottabad-2,Abbottabad-2,NA-16,Jamil Hussain,Quami Watan Party
Abbottabad-2,Abbottabad-2,NA-16,Rizwan Khan,Independent
Abbottabad-2,Abbottabad-2,NA-16,Sardar Maqsood AYub,Independent
Abbottabad-2,Abbottabad-2,NA-16,Syed Saeed Khalid,Independent
Abbottabad-2,Abbottabad-2,NA-16,Syed Faisal Hussain Gallani,Independent
Abbottabad-2,Abbottabad-2,NA-16,Shoukat Ali Tanoli,Independent
Abbottabad-2,Abbottabad-2,NA-16,Ali Khan Jadoon,Pakistan Tehreek-e-lnsaf
Abbottabad-2,Abbottabad-2,NA-16,Muhammad Irshad,Awami National Party
Abbottabad-2,Abbottabad-2,NA-16,Muhammad Asghar Shah,Independent
Abbottabad-2,Abbottabad-2,NA-16,Muhammad Rashid,Independent
Abbottabad-2,Abbottabad-2,NA-16,Muhammad Rohan,lndependent
Abbottabad-2,Abbottabad-2,NA-16,Muhammad Saeed Khan,MUTTHIDA MAJLIS-E-AMAL PAKISTAN
Abbottabad-2,Abbottabad-2,NA-16,Muhammad Waqas,Tehreek Labbaik Pakistan
Abbottabad-2,Abbottabad-2,NA-16,Murad Sher,lndependent
Abbottabad-2,Abbottabad-2,NA-16,Mohhabat Khan,Pakistan Muslim League
Haripur,Haripur,NA-17,Muhammad Waqas,Tehreek Labbaik Pakistan
Haripur,Haripur,NA-17,lrum Fatima,Anami National Party
Haripur,Haripur,NA-17,Babar Nawaz Khan,Pakistan Muslim League
Haripur,Haripur,NA-17,Habib Ullah,Independent
Haripur,Haripur,NA-17,Raja Qaisar Ali,lndependent
Haripur,Haripur,NA-17,Rizwan Saeed Mughal,Independent
Haripur,Haripur,NA-17,Syed Hamid Shah,Pakistan Muslim League
Haripur,Haripur,NA-17,Shaista Naz,Pakistan Peoples Party Par liamentarians
Haripur,Haripur,NA-17,Omar Ayub Khan,Pakistan Tehreek-e-lnsaf
Haripur,Haripur,NA-17,Farooq Shah,Mutahidda Majlis E Amal
Haripur,Haripur,NA-17,Muhammad Zubair,Tehreeq-e-Labaiq Pakistan
Haripur,Haripur,NA-17,Mullamamd Fiaz,Tehreek Labbaik Pakistan
Haripur,Haripur,NA-17,Wakalat Khan,Independent
Haripur,Haripur,NA-18,ASAD QAISAR,Tehreek Labbaik Pakistan
Haripur,Haripur,NA-17,KHALID MEHM00D,Awami Workers Party
Haripur,Haripur,NA-17,KHAIL AHMAD,Jamiat Ulma-e-lslam 
Haripur,Haripur,NA-17,RIZWAN ULLAH,lndependent
Haripur,Haripur,NA-17,SAJJAD AHMAD,Pakistan Muslim League
Haripur,Haripur,NA-17,SHAMS UL QAMAR,Independent
Haripur,Haripur,NA-17,SHAH NAWAZ KHANZADA,Independent
Haripur,Haripur,NA-17,FAZAL AKRAM,Independent
Haripur,Haripur,NA-17,FAZAL Ali,MUTTHIDA MAJLIS-E-AMAL PAKISTAN
Haripur,Haripur,NA-17,MUHAMMAD ISLAM KHAN,Awami National Party
Haripur,Haripur,NA-17,MUHAMMAD RAZAQ,Independent
Haripur,Haripur,NA-17,MUHAMMAD TARIQ,Independent
Haripur,Haripur,NA-17,MAS00D JABBAR,Qaumi Watan Party
Swabi,Swabi-2,NA-19,Syed Khalid,Quami Watan Party
Swabi,Swabi-2,NA-19,Shahid Khan,Awami Workers Party
Swabi,Swabi-2,NA-19,Shehazad Ali Khan,Tehreek Jawanan Pakistan
Swabi,Swabi-2,NA-19,USman Khan,Pakistan Tehreek e_Insaf
Swabi,Swabi-2,NA-19,Ata-ul-Haq,MUTTHIDA MAJLISe-AMAL PAKISTAN
Swabi,Swabi-2,NA-19,Imran Ullah,Pakistan Muslim League (N)
Swabi,Swabi-2,NA-19,KashifAhmad,Pakistan Muslim teague
Swabi,Swabi-2,NA-19,Muhammad Naeem,Pakistan Peoples Party Parliamentarians
Mardan,Mardan-1,NA-20,Akltar Nawaz,Pakistan Muslim League
Mardan,Mardan-1,NA-20,Alaur Rahman,MUTTHIDA MAJLIS-E-AMAL PAKISTAN
Mardan,Mardan-1,NA-20,Gul Nawaz Khan,Awami National Party
Mardan,Mardan-1,NA-20,Mujahid Ali,Pakistan Tehreek-eJnsaf
Mardan,Mardan-1,NA-20,Nawabzada Khwaia Muhammad Khan HotI,Awami National Party
Mardan,Mardan-2,NA-21,Amir Halder Azam Khan,Awami National Party
Mardan,Mardan-2,NA-21,Syed Abid Ali Shah,Pakistan Peoples Party Parliamentarians
Mardan,Mardan-2,NA-21,Shuja Ali Mulk,Muttahida Majlis-e-Amal Pakistan
Mardan,Mardan-2,NA-21,Muhammad Saad,Pakistan Freedom Movement
Mardan,Mardan-2,NA-21,Muhammad Atif,Pakistan Tehreek-e-Insaaf
Mardan,Mardan-2,NA-21,Mukhtiar,Independent
Mardan,Mardan-3,NA-22,Ihsan Ullah ,Tehreek-e-Labaik Pakistan
Mardan,Mardan-3,NA-22,Jamshid lhan,Pakistan Muslim League
Mardan,Mardan-3,NA-22,Shoaib Alam Khan,Pakistan Peoples Party Parlimentarian
Mardan,Mardan-3,NA-22,Azmat Ali,Pakistan Muslim League(Z)
Mardan,Mardan-3,NA-22,Ali Muhammad,Pakislan Tehreek-e-lnsaf
Mardan,Mardan-3,NA-22, Muhammad Qasam,Mutahidda Majlis E Amal
Mardan,Mardan-3,NA-22,Malik Aman Khan,Awami National Party
Charsaddah,Charsaddah-1,NA-23,Aftab Ahmad Khan Sherpao,Qaumi Watan Party
Charsaddah,Charsaddah-1,NA-23,Anwar Taj,Pakistan Tehreek e insaf
Charsaddah,Charsaddah-1,NA-23,Begum Tahira Bukhari,Pakistan Muslim League (N)
Charsaddah,Charsaddah-1,NA-23,Haji Zafar Ali Khan,Mutahidda Majlis E Amal
Charsaddah,Charsaddah-1,NA-23,Aftab Ahmad Khan Sherpao,Qaumi Watan Party
Charsaddah,Charsaddah-1,NA-23,Sobadar Khan,Independent
Charsaddah,Charsaddah-1,NA-23,Manzoor Ahmed,Awami National Party
Charsaddah,Charsaddah-2,NA-24,Aftab Alam,Pakistan Peoples Party
Charsaddah,Charsaddah-2,NA-24,Asfandyar Wali Khan,Awami National Party
Charsaddah,Charsaddah-2,NA-24,Zahoor Ahmad,All Pakistan Muslim League
Charsaddah,Charsaddah-2,NA-24,Farooq Shah,Independent
Charsaddah,Charsaddah-2,NA-24,Farooq Shah,Independent
Charsaddah,Charsaddah-2,NA-24,Fazal Muhammad Khan,Pakistan Tehreek-eJnsaf
Charsaddah,Charsaddah-2,NA-24,Farooq Shah,Independent
Charsaddah,Charsaddah-2,NA-24,Muhammad Shafiq,Tehreek Labbaik Pakistan
Charsaddah,Charsaddah-2,NA-24,Mulana Muhammad Gohar Shah,MuTTHIDA MAJLIS E AMAL PAKISTAN
Charsaddah,Charsaddah-2,NA-24,Mian Alamgir Shah,Pakistan Muslim League (N)
Nowshera,Nowshera-1,NA-25,Ihrar Khan,Independent
Nowshera,Nowshera-1,NA-25,Ijaz ul Haq,Independent
Nowshera,Nowshera-1,NA-25,Pervez Khattak,Pakistan Tehreek-e-Insaaf
Nowshera,Nowshera-1,NA-25,Khan Pervez,Pakistan Peoples Party Parlimentarian
Nowshera,Nowshera-1,NA-25,Siraj Muhammad Khan,Pakistan Muslim League (N)
Nowshera,Nowshera-1,NA-25,Syed Zulfiqar Ali Shah,Mutahidda Majlis E Amal
Nowshera,Nowshera-1,NA-25,Ayesha Gulalae Wazir,Pakistan Tehreek-e-Insaf(G)
Nowshera,Nowshera-1,NA-25,Muhammad Sher Ali,Independent
Nowshera,Nowshera-1,NA-25,Malik Jummah Khan,Awami National Party
Nowshera,Nowshera-2,NA-26,Asif Luqman Qaz i,Mutahidda Majlis E Amal
Nowshera,Nowshera-2,NA-26,Sana Ullah Jan,Tehreek Labbaik Pakistan
Nowshera,Nowshera-2,NA-26,Jamal Khan Khattak,Awami National Party
Nowshera,Nowshera-2,NA-26,Haji Nawab Khan,Pakistan Muslim League (N)
Nowshera,Nowshera-2,NA-26,Salih Muhammad,lndependent
Nowshera,Nowshera-2,NA-26,Imran Khatak,Pakistan Tehreek-e-lnsaf
Nowshera,Nowshera-2,NA-26,Feroz Jamal Shah Kaka Khel,Pakistan Peoples Party Parlimentarian
Nowshera,Nowshera-2,NA-26,Muhammad Tanvir,Independent
Nowshera,Nowshera-2,NA-26,Muhammad Faisal Khattak,Tehreek Jawanan Pakistan
Peshawar,Peshawar-1,NA-27,Amjad Ali,Qaumi Watan Party
Peshawar,Peshawar-1,NA-27,Sobia Shahid,Pakistan Muslim League(N)
Peshawar,Peshawar-1,NA-27,Hali Ghulam Ali,Muttahida MAJLIS-E-AMAL PAKISTAN
Peshawar,Peshawar-1,NA-27,Sidra Qadeem,Independent
Peshawar,Peshawar-1,NA-27,Shakeel Abid,lndependent
Peshawar,Peshawar-1,NA-27,Tahir Nadeem,Awami National Party
Peshawar,Peshawar-1,NA-27,Asma Alamgir,Pakistan Peoples Party Parlimentarian
Peshawar,Peshawar-1,NA-27,Faqir Muhammad,Independent
Peshawar,Peshawar-1,NA-27,Noor Alam Khan,Pakistan Tehreek-e-lnsaf
Peshawar,Peshawar-1,NA-27,Naveed Ali,Independent
Peshawar,Peshawar-2,NA-28,Arbab Amir Ayub,Pakistan Tehreek-e-lnsaf
Peshawar,Peshawar-2,NA-28,Ikram Ullah,Tchreek Labbaik Paki?an
Peshawar,Peshawar-2,NA-28,Shan Akbar,Awami National Party
Peshawar,Peshawar-2,NA-28,Sabir Hussain Awan,Mutahidda Majlis E Amal
Peshawar,Peshawar-2,NA-28,Muhamad lntikhab Khan,Pakistan Muslim League (N)
Peshawar,Peshawar-2,NA-28,Muhammad Daud Khan Barki,Independent
Peshawar,Peshawar-3,NA-29,Arbab Kamal Khan,Awami National Party
Peshawar,Peshawar-3,NA-29,Ameer Muqam,Pakistan Muslim League (N)
Peshawar,Peshawar-3,NA-29,Muhamad Shafiq,Tchreek Labbaik Pakistan
Peshawar,Peshawar-3,NA-29,Nasir Khan,Pakistan Tehreek-e-Insaf
Peshawar,Peshawar-3,NA-29,Naeem Jan,MUTTHIDA MAJLIS-E-Amal
Peshawar,Peshawar-4,NA-30,Arbab Alamgir Khan,Pakistan Peoples Party Parlimentarian
Peshawar,Peshawar-4,NA-30,Arbab Najeeb Ullah,Muttahida Majlis-e-Amal
Peshawar,Peshawar-4,NA-30,Sher Ali Arbab,Pakistan Tehreek Insaf
Peshawar,Peshawar-4,NA-30,Muhammad Junaid,Pakistan Muslim League
Peshawar,Peshawar-4,NA-30,Muhammad Shoukat Khursheed,Independent
Peshawar,Peshawar-4,NA-30,Muhammad Alamgir Kahlil,Awami National Party
Peshawar,Peshawar-4,NA-30,Malik Haider Khan,Pakistan Muslim League
Peshawar,Peshawar-4,NA-30,Noor Wali Khan,Pakistan Justice & Democratic Party
Peshawar,Peshawar-5,NA-31,Akhunzada lrfan Ullah,Pakistan Peopels Party Parlimentarians
Peshawar,Peshawar-5,NA-31,Ilyaz Ahmed Blour,Independent
Peshawar,Peshawar-5,NA-31,Aurangzeb Khan,All Pakistan Muslim League
Peshawar,Peshawar-5,NA-31,Hai chulalnAhmd Bilour,Awami National Party
Peshawar,Peshawar-5,NA-31,Rooh U? ah,lndependent
Peshawar,Peshawar-5,NA-31,Shaukat Ali Fazal,Independent
Peshawar,Peshawar-5,NA-31,Shaukat Ali S /o Liaqat Ali,Pakistan Tehreek-e-[nsaf
Peshawar,Peshawar-5,NA-31,Gul Rehman,Pasban Pakistan
Peshawar,Peshawar-5,NA-31,Muhammad SaqqafYasir,Independent
Peshawar,Peshawar-5,NA-31,Muhammad Siddiq Ur Rehman,MUTTHIDA MAJLIS E Amal
Peshawar,Peshawar-5,NA-31,Muhammad Nadeem,Pakistan Muslim League
Peshawar,Peshawar-5,NA-31,Noor Hussain,Aman Taraqqi Party
Peshawar,Peshawar-5,NA-31,Yasmeen,Tehreck Labbaik Pakistan
Kohat,Kohat-1,NA-32,Gul Rehman,Pasban Pakistan
Kohat,Kohat-1,NA-32,Bism? lah Khan,Pakistan Peoples Party
Kohat,Kohat-1,NA-32,Shehryar Afridi,Pakistan Tehreek-e-lnsaf
Kohat,Kohat-1,NA-32,Abbas Afridi,Pakistan Muslim League
Kohat,Kohat-1,NA-32,Asmat Ullah Khan,Independent
Kohat,Kohat-1,NA-32,Gohar Muhamad Bungash,MUTTHIDA MAJLIS-E-Amal
Kohat,Kohat-1,NA-32,Muhammad Fayyaz,Independent
Kohat,Kohat-1,NA-32,Madiha Faraz,Independent
Kohat,Kohat-1,NA-32,Mufti lbrar sultan,Independent
Kohat,Kohat-1,NA-32,Najeeb Ullah Durani,Tehreek Labbaik Pakistan
Kohat,Kohat-1,NA-32,YousafAfridi,Independent
Hangu,Hangu,NA-33,Asmat Ullah Khan,Independent
Hangu,Hangu,NA-33,Akhtar Munib Bangash,Independent
Hangu,Hangu,NA-33,Ulfat Hussain,Pakistan Peopels Party Parlimentarians
Hangu,Hangu,NA-33,Taj Muhammad,Independent
Hangu,Hangu,NA-33,Hussain Jalali,Independent
Hangu,Hangu,NA-33,Khaliq ur Rehman,Independent
